Dystans (m),Wysokość (m)
0,253.8822937011719
188.65861146092,253.6333923339844
377.31722292184,253.0144805908203
565.97583438276,254.4101867675781
754.63444584368,256.7538452148438
943.2930573046001,256.1846008300781
1131.95166876552,258.3895568847656
1320.6102802264402,256.9875183105469
1509.26889168736,261.705810546875
1697.92750314828,265.7126770019531
1886.5861146092002,270.8294372558594
2075.24472607012,272.6536560058594
2263.90333753104,268.2710571289062
2452.56194899196,272.2953491210938
2641.2205604528804,278.2943725585938
2829.8791719138003,278.5645751953125
3018.53778337472,272.3810729980469
3207.19639483564,267.9779663085938
3395.85500629656,270.6183166503906
3584.5136177574805,269.8271179199219
3773.1722292184004,265.7763061523438
3961.8308406793203,263.8216857910156
4150.48945214024,262.4588317871094
4339.14806360116,262
4527.80667506208,264.6275024414062
4716.465286523,271.9833984375
4905.12389798392,278.3459167480469
5093.782509444841,284.2345581054688
5282.441120905761,280.6593933105469
5471.099732366681,276.246826171875
5659.758343827601,269.9144592285156
5848.4169552885205,263.3884582519531
6037.07556674944,267.92236328125
6225.73417821036,267.3428955078125
6414.39278967128,266.9650268554688
6603.0514011322,266.0731506347656
6791.71001259312,268.2452697753906
6980.36862405404,269.5133972167969
7169.027235514961,274.0596923828125
7357.685846975881,272.8636779785156
7546.344458436801,275.4940795898438
7735.003069897721,279.7010803222656
7923.661681358641,280.923583984375
8112.320292819561,289.9789123535156
8300.97890428048,304.4795227050781
8489.6375157414,309.8414916992188
8678.29612720232,316.1183471679688
8866.95473866324,312.9664916992188
9055.61335012416,321.6391296386719
9244.27196158508,324.2912902832031
9432.930573046,322.3915405273438
9621.58918450692,319.3076782226562
9810.24779596784,316.1623840332031
9998.90640742876,311.674072265625
10187.565018889682,309.9001159667969
10376.223630350602,309.303466796875
10564.882241811521,308.9521484375
10753.540853272441,311.46484375
10942.199464733361,313.1392822265625
11130.858076194281,313.1183166503906
11319.516687655201,312.4837951660156
11508.175299116121,313.7020263671875
11696.833910577041,317.581787109375
11885.492522037961,321.9273071289062
12074.15113349888,323.5443725585938
12262.8097449598,323.5313110351562
12451.46835642072,326.0510864257812
12640.12696788164,330.9803771972656
12828.78557934256,328.5935974121094
13017.44419080348,329.0979614257812
13206.1028022644,333.0642700195312
13394.76141372532,335.4195861816406
13583.42002518624,337.9827270507812
13772.07863664716,337.9856567382812
13960.73724810808,345.4779968261719
14149.395859569002,349.4107971191406
14338.054471029922,350.5935974121094
14526.713082490842,356.2699890136719
14715.371693951762,358.9572448730469
14904.030305412682,363.6763610839844
